update_time,name,symbol,marketcap_usd,price,current_supply
2016-01-11 11:47:00,Global Curre...,GCR,1506552, 0.015022,
2016-01-11 11:47:00,MonaCoin,MONA,1986572, 0.072620,
2016-01-11 11:47:00,Bitcoin,BTC,6715815141, 445.63,
2016-01-11 11:47:00,Ripple,XRP,198165354, 0.005909,
2016-01-11 11:47:00,Litecoin,LTC,156189440, 3.55,
2016-01-11 11:47:00,Ethereum,ETH,77390467, 1.02,
2016-01-11 11:47:00,Dash,DASH,19046544, 3.10,
2016-01-11 11:47:00,Dogecoin,DOGE,17698212, 0.000172,
2016-01-11 11:47:00,Peercoin,PPC,9601185, 0.419161,
2016-01-11 11:47:00,Stellar,XLM,8400699, 0.001737,
2016-01-11 11:47:00,BitShares,BTS,7739889, 0.003050,
2016-01-11 11:47:00,MaidSafeCoin,MAID,7528255, 0.016635,
2016-01-11 11:47:00,Nxt,NXT,6349862, 0.006350,
2016-01-11 11:47:00,Factom,FCT,6221097, 0.710668,
2016-01-11 11:47:00,Bytecoin,BCN,5854501, 0.000033,
2016-01-11 11:47:00,Namecoin,NMC,5627689, 0.421575,
2016-01-11 11:47:00,EmerCoin,EMC,5384439, 0.146059,
2016-01-11 11:47:00,Monero,XMR,5137745, 0.481778,
2016-01-11 11:47:00,NuShares,NSR,3080034, 0.003715,
2016-01-11 11:47:00,GridCoin,GRC,3022781, 0.008128,
2016-01-11 11:47:00,Rubycoin,RBY,2817826, 0.124732,
2016-01-11 11:47:00,YbCoin,YBC,2479735, 0.824925,
2016-01-11 11:47:00,Storjcoin X,SJCX,696355, 0.015622,
2016-01-11 11:47:00,NEM,XEM,2219805, 0.000247,
2016-01-11 11:47:00,BlackCoin,BLK,1866172, 0.024817,
2016-01-11 11:47:00,WorldCoin,WDC,745198, 0.007767,
2016-01-11 11:47:00,Horizon,HZ,164264, 0.000165,
2016-01-11 11:47:00,Startcoin,START,1704246, 0.047041,
2016-01-11 11:47:00,Clams,CLAM,1472961, 0.958873,
2016-01-11 11:47:00,Tether,USDT,1451600, 1.00,
2016-01-11 11:47:00,BitcoinDark,BTCD,1380182, 1.11,
2016-01-11 11:47:00,Bitcrystals,BCY,1376179, 0.032085,
2016-01-11 11:47:00,MUSE,MUSE,1294891, 0.000956,
2016-01-11 11:47:00,Counterparty,XCP,1293161, 0.491916,
2016-01-11 11:47:00,Novacoin,NVC,1153416, 0.911007,
2016-01-11 11:47:00,DigiByte,DGB,1094106, 0.000192,
2016-01-11 11:47:00,VPNCoin,VASH,1089228, 0.002721,
2016-01-11 11:47:00,Mastercoin (...,OMNI,1078608, 1.96,
2016-01-11 11:47:00,PayCoin,XPY,982488, 0.059391,
2016-01-11 11:47:00,GetGems,GEMZ,943875, 0.010709,
2016-01-11 11:47:00,AmberCoin,AMBER,873243, 0.020264,
2016-01-11 11:47:00,Primecoin,XPM,861978, 0.066489,
2016-01-11 11:47:00,Rimbit,RBT,854951, 0.007527,
2016-01-11 11:47:00,Scotcoin,SCOT,827587, 0.000828,
2016-01-11 11:47:00,VeriCoin,VRC,775813, 0.028303,
2016-01-11 11:47:00,CasinoCoin,CSC,774721, 0.022277,
2016-01-11 11:47:00,NuBits,USNBT,755369, 0.997735,
2016-01-11 11:47:00,Synereo,AMP,1615758, 0.008743,
2016-01-11 11:47:00,SuperNET,UNITY,635714, 0.779003,
2016-01-11 11:47:00,ShadowCash,SDC,724880, 0.111408,
2016-01-11 11:47:00,TileCoin,XTC,165947, 0.001659,
2016-01-11 11:47:00,BilShares,BILS,304491, 0.000304,
2016-01-11 11:47:00,Megacoin,MEC,625738, 0.019777,
2016-01-11 11:47:00,EarthCoin,EAC,624440, 0.000067,
2016-01-11 11:47:00,Mintcoin,MINT,550810, 0.000024,
2016-01-11 11:47:00,NeuCoin,NEU,527842, 0.003124,
2016-01-11 11:47:00,Vanillacoin,VNL,523250, 0.040631,
2016-01-11 11:47:00,GameCredits,GAME,513983, 0.009948,
2016-01-11 11:47:00,BoostCoin,BOST,507652, 0.043085,
2016-01-11 11:47:00,DigitalNote,XDN,502782, 0.000073,
2016-01-11 11:47:00,BitSwift,SWIFT,494798, 0.122419,
2016-01-11 11:47:00,Infinitecoin,IFC,489594, 0.000005,
2016-01-11 11:47:00,DNotes,NOTE,465998, 0.004328,
2016-01-11 11:47:00,Gulden,NLG,446927, 0.001537,
2016-01-11 11:47:00,Crypti,XCR,435863, 0.004359,
2016-01-11 11:47:00,Vertcoin,VTC,420242, 0.019288,
2016-01-11 11:47:00,Diamond,DMD,412563, 0.278231,
2016-01-11 11:47:00,ARCHcoin,ARCH,380795, 0.023107,
2016-01-11 11:47:00,NautilusCoin,NAUT,371046, 0.063731,
2016-01-11 11:47:00,Applecoin,APC,366438, 0.016442,
2016-01-11 11:47:00,StabilityShares,XSI,336756, 0.036539,
2016-01-11 11:47:00,FedoraCoin,TIPS,328146, 0.000001,
2016-01-11 11:47:00,ReddCoin,RDD,640541, 0.000023,
2016-01-11 11:47:00,SolarCoin,SLR,681460, 0.019911,
2016-01-11 11:47:00,I/O Coin,IOC,297829, 0.018361,
2016-01-11 11:47:00,HyperStake,HYP,171551, 0.000445,
2016-01-11 11:47:00,Unobtanium,UNO,286514, 1.46,
2016-01-11 11:47:00,Zetacoin,ZET,279194, 0.001707,
2016-01-11 11:47:00,Anoncoin,ANC,278023, 0.140039,
2016-01-11 11:47:00,AsiaCoin,AC,270585, 0.000738,
2016-01-11 11:47:00,Digitalcoin,DGC,268379, 0.009124,
2016-01-11 11:47:00,Nas,NAS,267326, 0.000027,
2016-01-11 11:47:00,Crypto Bullion,CBX,256594, 0.264845,
2016-01-11 11:47:00,CureCoin,CURE,249299, 0.009432,
2016-01-11 11:47:00,Electronic G...,EFL,239883, 0.017283,
2016-01-11 11:47:00,Obits,OBITS,234342, 0.064353,
2016-01-11 11:47:00,NetCoin,NET,228624, 0.000379,
2016-01-11 11:47:00,BitBay,BAY,225757, 0.000225,
2016-01-11 11:47:00,Riecoin,RIC,211188, 0.010716,
2016-01-11 11:47:00,UnionCoin,UNC,210726, 0.025121,
2016-01-11 11:47:00,SpreadCoin,SPR,209717, 0.045454,
2016-01-11 11:47:00,Swarm,SWM,204838, 0.002050,
2016-01-11 11:47:00,Siacoin,SC,203916, 0.000022,
2016-01-11 11:47:00,Zeitcoin,ZEIT,200098, 0.000006,
2016-01-11 11:47:00,SysCoin,SYS,188305, 0.000439,
2016-01-11 11:47:00,MaxCoin,MAX,185131, 0.004465,
2016-01-11 11:47:00,Virtacoin,VTA,174520, 0.000015,
2016-01-11 11:47:00,Auroracoin,AUR,285861, 0.037455,
2016-01-11 11:47:00,Feathercoin,FTC,320218, 0.002968,
2016-01-11 11:47:00,Quark,QRK,657791, 0.002635,
2016-02-11 03:47:00,Unobtanium,UNO,243376, 1.24,
2016-02-11 03:47:00,Blocknet,BLOCK,252509, 0.064572,
2016-02-11 03:47:00,LIQUID,LQD,255756, 0.748450,
2016-02-11 03:47:00,TagCoin,TAG,258248, 0.064308,
2016-02-11 03:47:00,CureCoin,CURE,275911, 0.010439,
2016-02-11 03:47:00,DogeCoinDark,DODGE,291861, 0.000031,
2016-02-11 03:47:00,InstantDEX,DEX,301891, 0.301891,
2016-02-11 03:47:00,Crypti,XCR,302922, 0.003029,
2016-02-11 03:47:00,Xaurum,XAUR,313510, 127.63,
2016-02-11 03:47:00,SpreadCoin,SPR,321388, 0.066271,
2016-02-11 03:47:00,SecureCoin,SRC,330390, 0.059795,
2016-02-11 03:47:00,Nas,NAS,340846, 0.000034,
2016-02-11 03:47:00,MaxCoin,MAX,342402, 0.008259,
2016-02-11 03:47:00,Capricoin,CPC,345893, 1.04,
2016-02-11 03:47:00,Auroracoin,AUR,351162, 0.045356,
2016-02-11 03:47:00,Obits,OBITS,362262, 0.078719,
2016-02-11 03:47:00,Riecoin,RIC,391266, 0.019004,
2016-02-11 03:47:00,Feathercoin,FTC,411303, 0.003697,
2016-02-11 03:47:00,Siacoin,SC,431906, 0.000042,
2016-02-11 03:47:00,PayCoin,XPY,451707, 0.027047,
2016-02-11 03:47:00,GameCredits,GAME,477475, 0.009205,
2016-02-11 03:47:00,Anoncoin,ANC,499130, 0.246847,
2016-02-11 03:47:00,Radium,RADS,251242, 0.095697,
2016-02-11 03:47:00,DNotes,NOTE,498138, 0.004582,
2016-02-11 03:47:00,Diamond,DMD,508035, 0.333917,
2016-02-11 03:47:00,Novacoin,NVC,895950, 0.694102,
2016-02-11 03:47:00,I0Coin,I0C,549518, 0.026285,
2016-02-11 03:47:00,NeuCoin,NEU,562827, 0.003107,
2016-02-11 03:47:00,Gulden,NLG,563066, 0.001923,
2016-02-11 03:47:00,CloakCoin,CLOAK,586929, 0.124622,
2016-02-11 03:47:00,ShadowCash,SDC,587874, 0.090298,
2016-02-11 03:47:00,DigitalNote,XDN,597720, 0.000087,
2016-02-11 03:47:00,ReddCoin,RDD,638859, 0.000023,
2016-02-11 03:47:00,SolarCoin,SLR,642353, 0.018757,
2016-02-11 03:47:00,AmberCoin,AMBER,661528, 0.015321,
2016-02-11 03:47:00,Applecoin,APC,664381, 0.029812,
2016-02-11 03:47:00,Global Curre...,GCR,938250, 0.009343,
2016-02-11 03:47:00,Vanillacoin,VNL,666025, 0.049796,
2016-02-11 03:47:00,SuperNET,UNITY,717174, 0.878824,
2016-02-11 03:47:00,UnionCoin,UNC,727265, 0.086697,
2016-02-11 03:47:00,BilShares,BILS,745287, 0.000745,
2016-02-11 03:47:00,NuBits,USNBT,757349, 1.00,
2016-02-11 03:47:00,ZcCoin,ZCC,793990, 0.014127,
2016-02-11 03:47:00,CasinoCoin,CSC,822382, 0.022866,
2016-02-11 03:47:00,Zetacoin,ZET,850576, 0.005195,
2016-02-11 03:47:00,Xiaomicoin,MI,855368, 0.002116,
2016-02-11 03:47:00,BlockShares,BKS,860699, 4.60,
2016-02-11 03:47:00,FairCoin,FAIR,548151, 0.010461,
2016-02-11 03:47:00,Digitalcoin,DGC,688051, 0.022721,
2016-02-11 03:47:00,Ethereum,ETH,353564150, 4.60,
2016-02-11 03:47:00,Bitcoin,BTC,5791936342, 381.19,
2016-02-11 03:47:00,EarthCoin,EAC,2770312, 0.000296,
2016-02-11 03:47:00,WorldCoin,WDC,1003279, 0.010255,
2016-02-11 03:47:00,DigiByte,DGB,1011566, 0.000171,
2016-02-11 03:47:00,BitcoinDark,BTCD,1024004, 0.817541,
2016-02-11 03:47:00,FuelCoin,FC2,1041431, 0.010393,
2016-02-11 03:47:00,MUSE,MUSE,1089216, 0.000802,
2016-02-11 03:47:00,BoostCoin,BOST,1093184, 0.092781,
2016-02-11 03:47:00,Startcoin,START,1143363, 0.030827,
2016-02-11 03:47:00,GetGems,GEMZ,1144427, 0.012985,
2016-02-11 03:47:00,Swarm,SWM,246441, 0.002466,
2016-02-11 03:47:00,Primecoin,XPM,1192690, 0.089482,
2016-02-11 03:47:00,Clams,CLAM,1291789, 0.816916,
2016-02-11 03:47:00,Mintcoin,MINT,1380341, 0.000061,
2016-02-11 03:47:00,FedoraCoin,TIPS,1397901, 0.000005,
2016-02-11 03:47:00,Scotcoin,SCOT,1421540, 0.001422,
2016-02-11 03:47:00,Bitcrystals,BCY,1433386, 0.033549,
2016-02-11 03:47:00,Tether,USDT,1451600, 1.00,
2016-02-11 03:47:00,Omni,OMNI,1487764, 2.70,
2016-02-11 03:47:00,Storjcoin X,SJCX,1618229, 0.036303,
2016-02-11 03:47:00,Quark,QRK,1631963, 0.006537,
2016-02-11 03:47:00,MonaCoin,MONA,1738351, 0.060463,
2016-02-11 03:47:00,Infinitecoin,IFC,1244104, 0.000014,
2016-02-11 03:47:00,VeriCoin,VRC,1001950, 0.036491,
2016-02-11 03:47:00,Vertcoin,VTC,995455, 0.043916,
2016-02-11 03:47:00,Megacoin,MEC,940843, 0.029546,
2016-02-11 03:47:00,GridCoin,GRC,1980232, 0.005310,
2016-02-11 03:47:00,Counterparty,XCP,1740195, 0.662070,
2016-02-11 03:47:00,Synereo,AMP,3162002, 0.017110,
2016-02-11 03:47:00,Rubycoin,RBY,3273191, 0.144198,
2016-02-11 03:47:00,NEM,XEM,4843242, 0.000538,
2016-02-11 03:47:00,Monero,XMR,5192177, 0.472985,
2016-02-11 03:47:00,Namecoin,NMC,5437435, 0.399879,
2016-02-11 03:47:00,Bytecoin,BCN,7154870, 0.000040,
2016-02-11 03:47:00,YbCoin,YBC,7267287, 2.42,
2016-02-11 03:47:00,VPNCoin,VASH,7333263, 0.018318,
2016-02-11 03:47:00,Emercoin,EMC,7465846, 0.202104,
2016-02-11 03:47:00,Nxt,NXT,8159196, 0.008159,
2016-02-11 03:47:00,StabilityShares,XSI,2946001, 0.319241,
2016-02-11 03:47:00,Stellar,XLM,8961880, 0.001853,
2016-02-11 03:47:00,Peercoin,PPC,9483998, 0.412745,
2016-02-11 03:47:00,Factom,FCT,9724945, 1.11,
2016-02-11 03:47:00,MaidSafeCoin,MAID,12079755, 0.026693,
2016-02-11 03:47:00,Dash,DASH,23514751, 3.78,
2016-02-11 03:47:00,Dogecoin,DOGE,30685706, 0.000298,
2016-02-11 03:47:00,Litecoin,LTC,137462126, 3.09,
2016-02-11 03:47:00,Ripple,XRP,270083327, 0.007922,
2016-02-11 03:47:00,BlackCoin,BLK,2302833, 0.030599,
2016-02-11 03:47:00,NuShares,NSR,2205931, 0.002688,
2016-02-11 03:47:00,BitShares,BTS,8769656, 0.003451,
2016-03-10 06:03:00,ShadowCash,SDC,492829, 0.075654,
2016-03-10 06:03:00,Applecoin,APC,489239, 0.021953,
2016-03-10 06:03:00,Diamond,DMD,469096, 0.302820,
2016-03-10 06:03:00,PayCoin,XPY,396672, 0.023588,
2016-03-10 06:03:00,Tickets,TIX,442488, 0.000007,
2016-03-10 06:03:00,Unobtanium,UNO,400275, 2.03,
2016-03-10 06:03:00,CasinoCoin,CSC,501507, 0.013685,
2016-03-10 06:03:00,SolarCoin,SLR,701459, 0.020472,
2016-03-10 06:03:00,Anoncoin,ANC,453379, 0.220566,
2016-03-10 06:03:00,Gulden,NLG,522007, 0.001746,
2016-03-10 06:03:00,CloakCoin,CLOAK,560227, 0.118715,
2016-03-10 06:03:00,UnionCoin,UNC,540867, 0.064476,
2016-03-10 06:03:00,Obits,OBITS,546575, 0.107648,
2016-03-10 06:03:00,I/O Coin,IOC,561714, 0.034597,
2016-03-10 06:03:00,Digitalcoin,DGC,574673, 0.018660,
2016-03-10 06:03:00,Zetacoin,ZET,588936, 0.003594,
2016-03-10 06:03:00,HempCoin,HMP,607454, 0.000503,
2016-03-10 06:03:00,Xiaomicoin,MI,622421, 0.001539,
2016-03-10 06:03:00,ZcCoin,ZCC,639674, 0.010863,
2016-03-10 06:03:00,Safe Exchang...,SAFEX,1173072, 0.000546,
2016-03-10 06:03:00,Crypti,XCR,523367, 0.005234,
2016-03-10 06:03:00,DNotes,NOTE,703575, 0.006417,
2016-03-10 06:03:00,ReddCoin,RDD,925518, 0.000033,
2016-03-10 06:03:00,Primecoin,XPM,1140534, 0.083415,
2016-03-10 06:03:00,Riecoin,RIC,354470, 0.016570,
2016-03-10 06:03:00,Megacoin,MEC,749448, 0.023390,
2016-03-10 06:03:00,Swarm,SWM,755236, 0.007556,
2016-03-10 06:03:00,NuBits,USNBT,759757, 1.00,
2016-03-10 06:03:00,BoostCoin,BOST,759935, 0.064476,
2016-03-10 06:03:00,FairCoin,FAIR,774267, 0.014769,
2016-03-10 06:03:00,NeuCoin,NEU,800758, 0.003766,
2016-03-10 06:03:00,WorldCoin,WDC,809238, 0.008123,
2016-03-10 06:03:00,Feathercoin,FTC,830741, 0.008070,
2016-03-10 06:03:00,GetGems,GEMZ,851347, 0.009660,
2016-03-10 06:03:00,DigitalNote,XDN,752496, 0.000110,
2016-03-10 06:03:00,Global Curre...,GCR,875955, 0.008711,
