BTC, https://bitcoincharts.com/bitcoin/
ETH, no-> https://etherscan.io/stat/supply
XRP, no tiene->https://xrpcharts.ripple.com/#/
BCC, no tiene
LTC, no tiene
NEO, no tiene
ADA, no tiene
Stellar(XLM), https://stellarchain.io/
XMR, no tiene
EOS, no tiene->https://ethplorer.io/address/0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0
MIOTA, no tiene
DASH, https://www.dash.org/network/#section-exchanges
XEM, https://nem.io/es/inversores/
TRX, no indican ni market_cap ni supply(https://tron.network/entrx.html)
Tether(USDT), https://wallet.tether.to/transparency(dice total assets, no market_cap)
ETC, no tiene
VEN, etherscan
LSK, https://explorer.lisk.io/ (supply, habria que multiplicar por precio)
qtum, https://explorer.qtum.org/
Bitcoin Gold(BTG), https://btgexplorer.com/
NANO, no tiene
OMG, etherscan
ZEC, https://explorer.zcha.in/
ICX, no es preciso->https://www.icon.foundation/contents/icx/overviews?lang=en
Binance(BNB), https://info.binance.com/currencies/binance-coin
DGD, no tiene
Steemit STEEM, https://steemd.com/
Bytecoin(BCN), https://bytecoin.org/
Waves(WAVES), http://wavesgo.com/stats
Populous(PPT), https://populous.co/
XVG, no permite el scrapping->trae el supply->https://verge-blockchain.info/
STRAT, etherscan
SNT, etherscan
MKR, etherscan
RHOC, etherscan
SC, poco precisa->https://sia.tech/
DOGE, da error su pagina->http://dogechain.info/search?perror=0d9b6afb
BTS, poco preciso->http://open-explorer.io/#/dashboard
Waltonchain(WTC), etherscan
Decred(DCR), no tiene
Augur(REP), etherscan
Aeternity(AE), etherscan
Komodo(KMD), tiene supply->http://kmd.komodochainz.info/
0x(ZRX), etherscan
Bytom(BTM), etherscan
Veritaseum(VERI), tiene supply->https://veritas.veritaseum.com/
Electroneum(ETN), poco preciso->https://electroneum.com/
Ark(ARK), no tiene
Ardor(ARDR), https://ardor.tools/charts/market/market_cap
Criptonex(CNX), poco preciso->https://cryptonex.org/
Syscoin(SYS), no tiene
dragonchain(drgn), supply->https://dragonchain.com/
Basic Attention Token(BAT), no tiene
Hshare(HSR), http://explorer.h.cash/
Gas(GAS), page not response->
Golem(GNT), no tiene
DigiByte(DGB), no tiene
PIVS(PIVX), poco precisa->https://pivx.org/es/spanish-home-page/
Aion(AION), no tiene
Ethos(ETHOS), no tiene
Monacoin(MONA), no tiene
QASH(QASH), notiene
Factom(FCT), no tiene
Loopring(LRC), no tiene
FunFair(FUN), no tiene
ByteballBytes(GBYTE), no tiene
Revain(R), poco preciso->https://revain.org/
aelf(ELF), no tiene
ReddCoin(RDD), max_supply->https://live.reddcoin.com/status
Dentacoin(DCN), supply inpreciso->https://dentacoin.com/
Particl(PART), supply->https://explorer.particl.io/status
Zcoin(XZC), suppyl->https://explorer.zcoin.io/
ChainLink(LINK), no tiene
Kyber Network (KNC), no tiene
GXChain (GXS), api->http://block.gxb.io/api/supply
Kin (KIN), no tiene
IOStoken (IOST), no tiene
Salt(SALT), no tiene
Polymath (POLY), no tiene
Dent (DENT), no tiene
Neblio (NEBL), no tiene
Power Ledger (POWR), no tiene
SmartCash (SMART), tiene el total_supply->https://explorer3.smartcash.cc/
Emercoin (EMC), https://emercoin.com/en/rate
Nxt (NXT), no tiene
Bancor (BNT), no tiene
Nexus (NXS), http://nxsorbitalscan.com/supply
Iconomi (ICN), no tiene
Storj (STORJ), no tiene
SingularityNET (AGI), no tiene
MaidSafeCoin (MAID), supply-http://omnichest.info/lookupsp.aspx?sp=3
TenX (PAY), etherscan
Request Network (REQ), etherscan
SIRIN LABS Token (SRN), etherscan
Enigma (ENG), etherscan
Cindicator (CND), etherscan
Pillar (PLR), etherscan
Blocknet (BLOCK), no tiene
Bitcore (BTX), poco preciso->https://bitcore.cc/
Genesis Vision (GVT), etherscan
Storm (STORM), etherscan
SingularityNET (AGI), etherscan
Storj (STORJ), etherscan
Cindicator (CND), etherscan
Blocknet (BLOCK), no tiene
BitcoinDark (BTCD), no tiene
Gnosis (GNO), etherscan
Vertcoin (VTC), no tiene
Achain (ACT), no tiene
MinexCoin (MNX), no tiene
Decentraland (MANA), etherscan
Civic (CVC), etherscan
Dynamic Trading Rights (DTR), https://www.tokens.net/
Quantstamp (QSP), etherscan
Theta Token (THETA), etherscan
Monaco (MCO), etherscan
Aragon (ANT), etherscan
Raiden Network Token (RDN), etherscan
iExec RLC (RLC), poco preciso->https://iex.ec/es/rlc-token/
GameCredits (GAME), https://blockexplorer.gamecredits.com/home(revisar)
Metal (MTL), no tiene
Enjin Coin (ENJ), https://enjincoin.io/#market
Ignis (IGNIS), no tiene
Santiment Network Token (SAN), etherscan
SaluS (SLS), http://www.presstab.pw/phpexplorer/SLS/
PayPie (PPP), etherscan
Skycoin (SKY), https://explorer.skycoin.net/app/blocks/1
NavCoin (NAV), no tiene
WAX (WAX), etherscan
Ubiq (UBQ), https://ubiqscan.io/assets/
Po.et (POE), etherscan
Genaro Network (GNX), etherscan
ZenCash (ZEN), https://zencash.com/
Cube (AUTO), impreciso->https://cubeint.io/
XPA (XPA), etherscan
Arcblock (ABT), etherscan
DigitalNote (XDN), no tiene
DEW (DEW), https://dew.one/(pagina caida)
Asch (XAS), https://explorer.asch.io/index.html
Envion (EVN), etherscan
Time New Bank (TNB), sin informacion(etherscan)
Einsteinium (EMC2), no tiene
BridgeCoin (BCO), NO TIENE
High Performance Blockchain (HPB), etherscan
Pura (PURA), poco precisa->https://pura.one/
Nuls (NULS), etherscan
Credits (CS), etherscan
SophiaTX (SPHTX), https://www.sophiatx.com/
Oyster (PRL), poco preciso->https://oysterprotocol.com/
Edgeless (EDG), etherscan
AdEx (ADX),etherscan
Fusion (FSN), etherscan
MediBloc (MED), no tiene
ION (ION), no tiene
Experience Points (XP), no tiene
BLOCKv (VEE), etherscan
ETHLend (LEND), etherscan
Bluzelle (BLZ), poco preciso->https://bluzelle.com/  etherscan
Bibox Token (BIX), etherscan
CRYPTO20 (C20), etherscan
POA Network (POA), https://poaexplorer.com/
SpankChain (SPANK), etherscan
Ripio Credit Network (RCN), etherscan
Jibrel Network (JNT), etherscan
SpaceChain (SPC), no tiene
Streamr DATAcoin (DATA), etherscan
Feathercoin (FTC), solo tiene el maximo(https://www.feathercoin.com/)
Simple Token (OST), etherscan
SONM (SNM),etherscan
MediShares (MDS), no tiene info en etherscan
Peercoin (PPC), no tiene(poco preciso)
BitBay (BAY), no tiene
XTRABYTES (XBY), https://xtrabytes.global/
Wagerr (WGR), no tiene
SmartMesh (SMT), https://smartmesh.io/smt-token/
Pundi X (PXS), no tiene(fuera de circulacion)
Telcoin (TEL), etherscan
Ambrosus (AMB), etherscan
Red Pulse (RPX), no tiene
VIBE (VIBE), etherscan
OriginTrail (TRAC), etherscan
AirSwap (AST), etherscan
Wings (WINGS), etherscan
Quantum Resistant Ledger (QRL), etherscan
KickCoin (KICK), etherscan
Universa (UTNP), etherscan
Eidoo (EDO), etherscan
Ink (INK), no tiene
TaaS (TAAS), etherscan
AppCoins (APPC), etherscan
